//Format: Name, Category ID, /Relative/File/Path/Category.txt, Show ID boolean
Armor, 0x10000000, Resources/Equipment/Armor/Armor.txt, false
Consumables, 0x40000000, Resources/Equipment/Items/Consumables.txt, false
Key Items, 0x40000000, Resources/Equipment/Items/KeyItems.txt, false
Melee Weapons, 0x00000000, Resources/Equipment/Weapons/MeleeWeapons.txt, false
Ranged Weapons, 0x00000000, Resources/Equipment/Weapons/RangedWeapons.txt, false
Ammo, 0x00000000, Resources/Equipment/Weapons/Ammo.txt, false
Rings, 0x20000000, Resources/Equipment/Rings/Rings.txt, false
Shields, 0x00000000, Resources/Equipment/Weapons/Shields.txt, false
Spells, 0x40000000, Resources/Equipment/Items/Spells.txt, false
Spell Tools, 0x00000000, Resources/Equipment/Weapons/SpellTools.txt, false
Upgrade Materials, 0x40000000, Resources/Equipment/Items/UpgradeMaterials.txt, false
Usable Items, 0x40000000, Resources/Equipment/Items/UsableItems.txt, false
Mystery Weapons, 0x00000000, Resources/Equipment//Weapons/MysteryWeapons.txt, true
Mystery Armor, 0x10000000, Resources/Equipment/Armor/MysteryArmor.txt, true
Mystery Goods, 0x40000000, Resources/Equipment/Items/MysteryGoods.txt, true
